JobID,Account Code,Account Name,Site Code,Site Name,PostCode,Job Type,Status,Visit Date,Portal Status,Allocated Engineer,Parts Due,Total Job Value,Equipment
57261,DEPOT1,LVC,DEPOT111,LVC Hire,,Workshop Hire - Collect/Inspect/Repair,400,07/01/2026,Awaiting Parts for Repair,Luke Langlands,,0,NILFISK  sc6000; NILFISK  sc6000
57259,5009101,Circle Health Group Ltd/Priory Hospital  Vendor 105740,500910102,Circle Health Group/Priory Hospital,B5 7UG,Breakdown B Rate,230,29/01/2026,Pending Engineer Visit,Ray Oram,08/01/2026,94,
57257,NEWL002,Newline Anglia Ltd,NEWL002,Newline Anglia Ltd,SG8 5HN,Workshop Repair,575,12/01/2026,Attended - In Processing,Luke Langlands,,1198.8,
57250,PRIN003,De Vere 2 Ltd,PRIN00303,De Vere Beaumont Estate,SL4 2JJ,Potential Warranty B Rate customer,550,08/01/2026,Attended - Further Work Needed,Peter Hunte,07/01/2026,188,Viper CEX410
57249,MEDI001,Medirest FM Contract /Addenbrooke's -vendor  57674,MEDI001,Medirest FM Contract /Addenbrooke's -vendor  57674,CB2 2QQ,Callback,230,10/01/2026,Pending Engineer Visit,Ciaran McRae,07/01/2026,119.27,KARCHER BD 43/25C
57247,MEDI001,Medirest FM Contract /Addenbrooke's -vendor  57674,MEDI001,Medirest FM Contract /Addenbrooke's -vendor  57674,CB2 2QQ,Callback,230,17/01/2026,Pending Engineer Visit,Ciaran McRae,07/01/2026,48.34,KARCHER T 12/1
57234,MEDI001,Medirest FM Contract /Addenbrooke's -vendor  57674,MEDI001,Medirest FM Contract /Addenbrooke's -vendor  57674,CB2 2QQ,Callback,230,17/01/2026,Pending Engineer Visit,Ciaran McRae,07/01/2026,48.34,Karcher T10/1
57230,5009434,Vision-Redbridge Culture & Leisure VRCL,500943403,Vision RCL / Redbridge Townhall,IG1 1DD,Field Service,600,06/01/2026,Requires Invoicing,Ciaran McRae,06/01/2026,3.86,Field Service 1 Machine Per Visit; i-team i-mop XXL
57226,5009440,ACT Clean / Head Office,500944071,ACT Clean / Ned Hotel-ACT Night Cleaners,EC2R 8AJ,Hire Service,575,08/01/2026,Attended - In Processing,Chris Thomas,,0,Viper AS430
57222,BART006,Barts Health NHS Trust / Whipps Cross Hospital,BART00601,Whipps Cross Hospital (WXH),E11 1NR,Arranged Visit,230,26/01/2026,Pending Engineer Visit,Ray Oram,,0,
57215,WETT001,Wetton Cleaning Services Ltd / Estate House,WETT00183,Wettons Cleaning Services - Hilton Park Lane,W1K 1BE,Breakdown B Rate,600,07/01/2026,Requires Invoicing,Steve Batt,06/01/2026,225.6,Numatic TT6650S; VIPER AS4325B
57213,5010111,TLC Group Ltd / Support Office,5010111,TLC Group Ltd / Support Office,HA3 5AA,Field Service,230,30/01/2026,Pending Engineer Visit,Adrian Chioveanu,11/01/2026,0,Field Service Various machines to be serviced (as listed)
57212,TLCG004,TLC Group Ltd /  Karuna Manor Care Home,TLCG00401,TLC Group Ltd / Karuna Manor Care Home,HA3 5BD,Field Service,230,30/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
